España											
Actualizado: sábado, 28 enero 2017 a las 14:00 hora oficial											
Fecha: viernes, 27 enero 2017											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Pedrosa del Príncipe	Burgos	4.7 (17:00)	1.2 (08:10)	2,9	36 (06:30)	23 (05:50)	11,6	3,2	7,4	0,4	0,6
Palacios de la Sierra	Burgos	2.6 (01:20)	0.2 (06:10)	1,4	42 (01:20)	26 (01:20)	7,6	1	3,8	2,2	0,6
Monterrubio de la Demanda	Burgos	2.3 (14:30)	0.5 (23:59)	1,4	43 (04:20)	24 (01:10)	3,2	0	0,6	2,2	0,4
Villamayor de los Montes	Burgos	4.3 (17:00)	2.2 (09:30)	3,3	45 (04:10)	26 (04:40)	4,6	1,2	1,2	1,6	0,6
Burgos Aeropuerto	Burgos	4.6 (12:30)	2.1 (09:50)	3,3			2,4	0,6	1	0,6	0,2
Santa Gadea de Alfoz	Burgos	4.3 (15:10)	0.5 (03:20)	2,4			2	0,2	0,6	0	1,2
Sargentes de la Lora	Burgos	2.9 (15:30)	0.0 (02:50)	1,5	54 (06:30)	32 (06:30)	5,2	2,8	2,2	0,2	0
Briviesca	Burgos	7.4 (15:50)	0.5 (00:10)	4	35 (03:40)	23 (02:10)	2,8	0,2	2,4	0	0,2
Medina de Pomar	Burgos	8.6 (16:20)	2.5 (00:30)	5,6	28 (09:00)	16 (09:00)	0,8	0	0,6	0,2	0
Miranda de Ebro	Burgos	10.4 (17:20)	1.9 (01:20)	6,1	38 (04:30)	21 (06:30)	0,4	0	0,2	0	0,2
Belorado	Burgos	5.7 (17:00)	-2.4 (00:10)	1,6	19 (08:50)	11 (08:20)	0,5	0	0,4	0	0,1
Madrigal de la Vera	Cáceres	9.5 (16:50)	4.1 (06:30)	6,8	44 (23:30)	21 (23:30)	23,8	15,8	7,6	0,4	0
Navalmoral de la Mata	Cáceres	12.3 (15:40)	4.9 (07:20)	8,6	45 (22:30)	27 (22:20)	19,6	10,4	9	0,2	0
Garganta de la Olla	Cáceres	6.7 (13:50)	2.1 (09:40)	4,4	45 (22:20)	26 (21:30)	33	12,6	12,4	6,8	1,2
Serradilla	Cáceres	10.3 (14:20)	5.4 (23:59)	7,9	44 (20:50)	24 (14:40)	13,8	7,4	6,2	0,2	0
Jaraicejo	Cáceres	8.6 (13:40)	3.1 (23:59)	5,9	46 (09:30)	24 (09:20)	16,6	8,2	6,8	1,6	0
Trujillo	Cáceres	8.3 (14:40)	3.2 (23:59)	5,8	49 (13:20)	29 (09:30)	16,6	9,3	6,3	1	0
Cáceres	Cáceres	10.0 (14:20)	5.4 (23:59)	7,7	42 (14:40)	27 (16:10)	6,2	4,2	1,6	0,4	0
Cañaveral	Cáceres	10.7 (16:40)	5.9 (09:00)	8,3	43 (17:00)	29 (17:00)	8,6	5,2	2,8	0,6	0
Nuñomoral	Cáceres	8.9 (15:30)	4.2 (23:59)	6,5	35 (20:50)	14 (20:40)	26,8	15,2	10,6	1	0
Guijo de Granadilla	Cáceres	9.6 (16:50)	3.5 (23:59)	6,6	35 (07:20)	20 (07:20)	9	3	5,2	0,8	0
Hervás	Cáceres	6.6 (14:20)	3.1 (10:40)	4,8	46 (00:10)	26 (00:30)	13,6	5,6	6,2	1,2	0,6
Montehermoso	Cáceres	9.9 (17:10)	4.4 (23:59)	7,1	41 (06:50)	22 (06:50)	15,4	8	7,2	0,2	0
Tornavacas	Cáceres	3.8 (21:40)	0.4 (10:00)	2,1	39 (21:40)	19 (23:59)	12,8	3,2	5,2	3,2	1,2
Piornal	Cáceres	1.0 (18:50)	-0.3 (08:10)	0,3	41 (02:10)	22 (02:20)	23	7,8	2	9,6	3,6
Plasencia	Cáceres	10.7 (13:50)	5.1 (07:40)	7,9	34 (21:20)	18 (21:30)	13,3	5,2	8	0,1	0
Coria	Cáceres	11.1 (17:30)	3.7 (23:59)	7,4	39 (13:40)	24 (17:40)	5,6	3,8	1,6	0,2	0
Torrecilla de los Angeles	Cáceres	8.5 (16:00)	5.4 (09:00)	7	44 (19:10)	22 (19:40)	14,8	8,8	5,8	0,2	0
Hoyos	Cáceres	8.6 (16:00)	5.2 (08:10)	6,9	58 (21:20)	31 (22:20)	15,8	9,4	5,4	1	0
Zarza La Mayor	Cáceres	10.4 (16:50)	4.7 (23:50)	7,5	42 (12:40)	25 (13:20)	2,8	1,2	1	0,6	0
Valverde del Fresno	Cáceres	9.3 (18:00)	5.2 (22:30)	7,3	33 (19:50)	15 (13:10)	8,2	4,8	3,2	0,2	0
Aliseda	Cáceres	11.3 (16:30)	6.6 (21:50)	9	48 (17:10)	27 (16:10)	4,4	3,6	0,8	0	0
Brozas	Cáceres	9.6 (16:40)	3.9 (23:59)	6,8	49 (17:50)	35 (17:30)	5	3,8	1	0,2	0
Valencia de Alcántara	Cáceres	10.2 (15:10)	5.8 (22:20)	8	60 (15:20)	35 (13:40)	1,2	0,8	0,4	0	0
Guadalupe	Cáceres	8.1 (15:20)	4.4 (10:50)	6,3	43 (23:20)	16 (23:20)	30,6	13,6	12,2	4,2	0,6
Cañamero	Cáceres	8.3 (14:10)	4.3 (10:40)	6,3	50 (16:20)	27 (16:20)	17,2	8	7,2	2	0
Zorita	Cáceres	10.6 (14:50)	4.1 (23:50)	7,4	51 (14:00)	38 (14:00)	15,8	9,6	5,6	0,6	0
Alcuescar	Cáceres	9.8 (14:10)	4.6 (23:40)	7,2	51 (14:40)	26 (14:10)	8,6	5,4	3	0,2	0
Chipiona	Cádiz	15.3 (13:50)	10.3 (06:20)	12,8	49 (09:30)	34 (09:30)	10,8	5,8	4,8	0,2	0
Rota, Base Naval	Cádiz	15.8 (14:30)	9.8 (06:20)	12,8			11,4	9,4	1	0,8	0,2
Grazalema	Cádiz	6.8 (00:20)	3.6 (06:40)	5,2	51 (11:40)	18 (23:20)	31	12	16,4	2,3	0,3
Olvera	Cádiz	10.4 (00:40)	6.0 (15:50)	8,2	73 (15:40)	45 (01:10)	13,2	2	8,2	3	0
El Bosque	Cádiz	13.3 (14:10)	7.4 (23:59)	10,4	41 (00:10)	22 (01:00)	17,4	8,8	8,4	0,2	0
San José del Valle	Cádiz	14.5 (16:30)	8.2 (23:20)	11,3	38 (00:20)	18 (00:10)	7,6	4,4	3,2	0	0
Jerez de la Frontera Aeropuerto	Cádiz	16.0 (15:30)	9.1 (23:10)	12,6	50 (00:10)	36 (00:10)	10,2	2,2	8	0	0
San Fernando	Cádiz	15.5 (14:50)	11.9 (05:40)	13,7	63 (17:00)	36 (17:00)	2,1	0,8	0,9	0,4	0
