España											
Actualizado: viernes, 16 enero 2015 a las 09:00 hora oficial											
Fecha: jueves, 15 enero 2015											
											
Estación	Provincia	Temperatura máxima (ºC)	Temperatura mínima (ºC)	Temperatura media (ºC)	Racha (km/h)	Velocidad máxima (km/h)	Precipitación 00-24h (mm)	Precipitación 00-06h (mm)	Precipitación 06-12h (mm)	Precipitación 12-18h (mm)	Precipitación 18-24h (mm)
Soba, Alto Miera	Cantabria									0	11,2
Santander Aeropuerto	Cantabria										
Santander	Cantabria	14.2 (11:50)	8.1 (23:59)	11,2	77 (08:40)	48 (08:10)	12,2	0	0	3	9,2
Villacarriedo	Cantabria	12.7 (13:10)	6.7 (23:30)	9,7	87 (04:50)	52 (04:50)	4,4	0,2	0	0,4	3,8
Los Tojos, Bárcena Mayor	Cantabria	12.5 (02:50)	3.1 (00:00)	7,8	60 (05:30)	29 (05:50)	1,2	0	0	0,2	1
San Felices de Buelna	Cantabria				64 (09:20)	37 (09:10)	5	0	0	0,8	4,2
Torrelavega, Sierrapando	Cantabria	14.4 (08:20)	7.1 (23:59)	10,7	58 (04:20)	38 (04:20)	9	0	0	1,4	7,6
San Vicente de la Barquera	Cantabria	14.6 (13:00)	6.7 (00:20)	10,7	52 (14:40)	31 (14:40)	7,7	0	0	2	5,7
Camaleño, Fuente De	Cantabria	7.1 (06:00)	2.5 (23:59)	4,8	51 (06:00)	16 (01:20)	6,4	0	0	3,6	2,8
Cillórigo de Liébana, Tama	Cantabria	13.9 (13:00)	6.8 (23:59)	10,3	51 (11:30)	28 (11:40)	3	0	0	1,4	1,6
Tresviso	Cantabria	7.9 (06:40)	2.1 (22:30)	5	48 (11:40)	23 (14:30)	6	0	0	0,8	5,2
Santillana del Mar, Altamira	Cantabria	14.4 (14:10)	6.7 (23:59)	10,5	56 (08:30)	36 (08:30)	6	0	0	0,8	5,2
Reinosa	Cantabria	7.1 (14:20)	3.0 (23:10)	5	81 (09:30)	48 (09:20)	16,2	0	0	5,8	10,4
Valderredible, Cubillo de Ebro	Cantabria	7.8 (12:30)	5.2 (23:50)	6,5	66 (11:10)	30 (13:30)		0		3	5,8
Valderredible, Polientes	Cantabria	8.4 (12:50)	6.0 (03:20)	7,2	55 (07:30)	30 (02:30)	10	0	0	3,2	6,8
Segorbe	Castelló/Castellón							0			0
Montanejos	Castelló/Castellón	16.8 (14:50)	2.4 (05:10)	9,6	46 (15:20)	24 (14:20)	0	0	0	0	0
Villafranca del Cid/Villafranca	Castelló/Castellón	14.5 (14:20)	0.3 (02:10)	7,4	55 (13:00)	32 (13:00)	0	0	0	0	0
